8056.0	22552.0	5358.0
8067.0	22583.0	5365.0
8078.0	22614.0	5372.0
8089.0	22645.0	5379.0
8100.0	22676.0	5386.0
8111.0	22707.0	5393.0
8122.0	22738.0	5400.0
8133.0	22769.0	5407.0
8144.0	22800.0	5414.0
8155.0	22831.0	5421.0
8166.0	22862.0	5428.0
8177.0	22893.0	5435.0
8188.0	22924.0	5442.0
8199.0	22955.0	5449.0
8210.0	22986.0	5456.0
8221.0	23017.0	5463.0
8232.0	23048.0	5470.0
8243.0	23079.0	5477.0
8254.0	23110.0	5484.0
8265.0	23141.0	5491.0
8276.0	23172.0	5498.0
8287.0	23203.0	5505.0
8298.0	23234.0	5512.0
8309.0	23265.0	5519.0
8320.0	23296.0	5526.0
